Index,Quarter,TA125,D3-125,P-CHANGE125,TA-125-CLOSE,TA125-LAG1,TA125-LAG2,TA125-LAG3,TA125-LAG4,TA125-LAG1-R,TA125-LAG2-R,TA125-LAG3-R,TA125-LAG4-R,UNEMP,UNEMP-LAG1,UNEMP-LAG2,UNEMP-LAG3,UNEMP-LAG4,UNEMP-LAG1-DIFF,UNEMP-LAG2-DIFF,UNEMP-LAG3-DIFF,UNEMP-LAG4-DIFF,GDP,GDP-LAG1,GDP-LAG2,GDP-LAG3,GDP-LAG4,GDP-LAG1-R,GDP-LAG2-R,GDP-LAG3-R,GDP-LAG4-R,Prime,Prime-LAG1,Prime-LAG2,Prime-LAG3,Prime-LAG4,Prime-LAG1-DIFF,Prime-LAG2-DIFF,Prime-LAG3-DIFF,Prime-LAG4-DIFF,CP-I,CP-I-LAG1,CP-I-LAG2,CP-I-LAG3,CP-I-LAG4,CP-I-LAG1-R,CP-I-LAG2-R,CP-I-LAG3-R,CP-I-LAG4-R,CB-LENSER-S-b,CB-LENSER-S-p,CB-BORRWER-S-b,CB-BORRWER-S-p,PROVISION-b,PROVISION-p,Dummy-t
31/03/1999,Mar-99,,0,,,,,,,,,,,0.108081,,,,,,,,,159217.332,,,,,,,,,14.5,,,,,,,,,73.335775,,,,,,,,,223.893274,,227.74844,,0.016927,,0
30/06/1999,Jun-99,,0,,,,,,,,,,,0.111803,0.108081,,,,0.003722,,,,165705.991,159217.332,,,,0.040753,,,,13.5,14.5,,,,-1,,,,74.113686,73.335775,,,,0.010608,,,,232.44098,,236.259222,,0.016161,,0
30/09/1999,Sep-99,,0,,,,,,,,,,,0.110452,0.111803,0.108081,,,-0.001351,0.002371,,,166239.849,165705.991,159217.332,,,0.003222,0.044106,,,13,13.5,14.5,,,-0.5,-1.5,,,75.033035,74.113686,73.335775,,,0.012405,0.012405,,,246.492654,,250.444615,,0.01578,,0
31/12/1999,Dec-99,,0,,,,,,,,,,,0.107801,0.110452,0.111803,0.108081,,-0.002651,-0.004002,-0.00028,,169127.826,166239.849,165705.991,159217.332,,0.017372,0.02065,0.062245,,12.67,13,13.5,14.5,,-0.33,-0.83,-0.83,,75.386631,75.033035,74.113686,73.335775,,0.004713,0.004713,0.027965,,258.887479,57.490091,263.019634,58.47529,0.01571,0.016848,0
31/03/2000,03/00,,0,,516.55,,,,,,,,,0.106791,0.107801,0.110452,0.111803,0.108081,-0.00101,-0.003661,-0.005012,-0.00129,172827.76,169127.826,166239.849,165705.991,159217.332,0.021877,0.039629,0.042978,0.085483,11.38,12.67,13,13.5,14.5,-1.29,-1.62,-1.62,-3.12,74.467282,75.386631,75.033035,74.113686,73.335775,-0.012195,-0.012195,0.004771,0.015429,265.435111,58.442553,269.500308,59.522897,0.015084,0.01815,0
30/06/2000,06/00,,0,0.053509,544.19,516.55,,,,0.053509,,,,0.108956,0.106791,0.107801,0.110452,0.111803,0.002165,0.001155,-0.001496,-0.002847,178141.201,172827.76,169127.826,166239.849,165705.991,0.030744,0.053293,0.071591,0.075044,10.8,11.38,12.67,13,13.5,-0.58,-1.87,-1.87,-2.7,75.669508,74.467282,75.386631,75.033035,74.113686,0.016144,0.016144,0.008483,0.020992,272.023878,60.508224,276.240365,61.605327,0.015264,0.017809,0
30/09/2000,09/00,,0,0.027509,559.16,544.19,516.55,,,0.027509,0.08249,,,0.110478,0.108956,0.106791,0.107801,0.110452,0.001522,0.003687,0.002677,2.60E-05,183604.798,178141.201,172827.76,169127.826,166239.849,0.03067,0.062357,0.085598,0.104457,10.37,10.8,11.38,12.67,13,-0.43,-1.01,-1.01,-2.63,75.033035,75.669508,74.467282,75.386631,75.033035,-0.008411,-0.008411,-0.00469,0,280.220491,62.301166,284.717684,63.37013,0.015795,0.016869,0
31/12/2000,12/00,,0,-0.125027,489.25,559.16,544.19,516.55,,-0.125027,-0.100957,-0.052851,,0.11012,0.110478,0.108956,0.106791,0.107801,-0.000358,0.001164,0.003329,0.002319,183559.348,183604.798,178141.201,172827.76,169127.826,-0.000248,0.030415,0.062094,0.085329,9.67,10.37,10.8,11.38,12.67,-0.7,-1.13,-1.13,-3,75.386631,75.033035,75.669508,74.467282,75.386631,0.004713,0.004713,0.012346,0,295.559946,60.7387,300.513945,61.679497,0.016485,0.015253,0
31/03/2001,03-Jan,,0,-0.218947,382.13,489.25,559.16,544.19,516.55,-0.218947,-0.3166,-0.2978,-0.260227,0.10701,0.11012,0.110478,0.108956,0.106791,-0.00311,-0.003468,-0.001946,0.000219,181380.661,183559.348,183604.798,178141.201,172827.76,-0.011869,-0.012114,0.018185,0.049488,8.97,9.67,10.37,10.8,11.38,-0.7,-1.4,-1.4,-2.41,75.019457,75.386631,75.033035,75.669508,74.467282,-0.004871,-0.004871,-0.008591,0.007415,308.556032,59.885407,313.914982,60.800395,0.017071,0.015049,0
30/06/2001,06-Jan,,0,0.081281,413.19,382.13,489.25,559.16,544.19,0.081281,-0.155462,-0.261052,-0.240725,0.109397,0.10701,0.11012,0.110478,0.108956,0.002387,-0.000723,-0.001081,0.000441,180772.116,181380.661,183559.348,183604.798,178141.201,-0.003355,-0.015184,-0.015428,0.014769,8.4,8.97,9.67,10.37,10.8,-0.57,-1.27,-1.27,-2.4,76.22338,75.019457,75.386631,75.033035,75.669508,0.016048,0.016048,0.015864,0.00732,317.452784,60.340484,322.976485,61.313072,0.017102,0.015863,0
